"*Master* - Odessa > 177 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 319 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
,,,,,10/15/2018 8:16:54 PM,0.0016315,0.0016315,0.0016315,,
,,,,,10/15/2018 8:17:55 PM,0.0016115,0.0016115,0.0016115,,
,,,,,10/15/2018 8:18:55 PM,0.0014843,0.0014843,0.0014843,,
,,,,,10/15/2018 8:19:56 PM,0.0016354,0.0016354,0.0016354,,
,,,,,10/15/2018 8:20:56 PM,0.0017668,0.0017668,0.0017668,,
,,,,,10/15/2018 8:21:56 PM,0.0015006,0.0015006,0.0015006,,
,,,,,10/15/2018 8:22:57 PM,0.0016278,0.0016278,0.0016278,,
,,,,,10/15/2018 8:23:57 PM,0.0041284,0.0041284,0.0041284,,
,,,,,10/15/2018 8:24:57 PM,0.0016741,0.0016741,0.0016741,,
,,,,,10/15/2018 8:25:58 PM,0.0016772,0.0016772,0.0016772,,
,,,,,10/15/2018 8:26:58 PM,0.0016315,0.0016315,0.0016315,,
,,,,,10/15/2018 8:27:59 PM,0.0015659,0.0015659,0.0015659,,
,,,,,10/15/2018 8:28:59 PM,0.0014788,0.0014788,0.0014788,,
,,,,,10/15/2018 8:29:59 PM,0.0016002,0.0016002,0.0016002,,
,,,,,10/15/2018 8:31:00 PM,0.0015807,0.0015807,0.0015807,,
,,,,,10/15/2018 8:32:00 PM,0.0015481,0.0015481,0.0015481,,
,,,,,10/15/2018 8:33:01 PM,0.0016288,0.0016288,0.0016288,,
,,,,,10/15/2018 8:34:01 PM,0.0015065,0.0015065,0.0015065,,
,,,,,10/15/2018 8:35:01 PM,0.0016649,0.0016649,0.0016649,,
,,,,,10/15/2018 8:36:02 PM,0.0015953,0.0015953,0.0015953,,
,,,,,10/15/2018 8:37:02 PM,0.0023276,0.0023276,0.0023276,,
,,,,,10/15/2018 8:38:03 PM,0.0024919,0.0024919,0.0024919,,
,,,,,10/15/2018 8:39:03 PM,0.0026228,0.0026228,0.0026228,,
,,,,,10/15/2018 8:40:03 PM,0.0033999,0.0033999,0.0033999,,
,,,,,10/15/2018 8:41:04 PM,0.0027077,0.0027077,0.0027077,,
,,,,,10/15/2018 8:42:04 PM,0.0027619,0.0027619,0.0027619,,
,,,,,10/15/2018 8:43:05 PM,0.0027607,0.0027607,0.0027607,,
,,,,,10/15/2018 8:44:05 PM,0.0031308,0.0031308,0.0031308,,
,,,,,10/15/2018 8:45:05 PM,0.0023992,0.0023992,0.0023992,,
,,,,,10/15/2018 8:46:06 PM,0.0021217,0.0021217,0.0021217,,
,,,,,10/15/2018 8:47:06 PM,0.0030237,0.0030237,0.0030237,,
,,,,,10/15/2018 8:48:07 PM,0.0023861,0.0023861,0.0023861,,
,,,,,10/15/2018 8:49:07 PM,0.0026242,0.0026242,0.0026242,,
